Equipe 1,Score 1,Score 2,Equipe 2,Sport,Ligue,Statut,Date & Heure
Borussia Dortmund,–,–,Lombardia,Football,FC 25. 5x5 Rush. Superleague,Mi-temps,30/06/2025 21:00
Juventus,–,–,Bayer 04,Football,FC 25. 5x5 Rush. Superleague,Mi-temps,30/06/2025 20:50
Paris Saint-Germain,–,–,Manchester United,Football,FC 25. 5x5 Rush. Superleague,Mi-temps,30/06/2025 20:40
Sporting Clube de Portugal,3,1,Barcelone,Football,FC 25. 5x5 Rush. Superleague,Mi-temps,30/06/2025 20:30
Arsenal,–,–,Porto,Football,FC 24. 5x5. Superleague,Mi-temps,30/06/2025 21:20
Juventus,–,–,Newcastle United,Football,FC 24. 5x5. Superleague,Mi-temps,30/06/2025 21:10
Milan,–,–,Barcelone,Football,FC 24. 5x5. Superleague,Mi-temps,30/06/2025 21:00
Napoli,–,–,Club Atlético de Madrid,Football,FC 24. 5x5. Superleague,Mi-temps,30/06/2025 20:50
PSV Eindhoven,–,–,Bayern Munich,Football,FC 24. 5x5. Superleague,Mi-temps,30/06/2025 20:40
Brentford,–,–,Manchester City,Football,FC 24. 4x4. England Championship,Mi-temps,30/06/2025 21:00
Crystal Palace,–,–,West Ham United,Football,FC 24. 4x4. England Championship,Mi-temps,30/06/2025 21:10
Manchester United,–,–,Sheffield United,Football,FC 24. 4x4. England Championship,Mi-temps,30/06/2025 20:40
Nottingham Forest,–,–,Fulham,Football,FC 24. 4x4. England Championship,Mi-temps,30/06/2025 20:50
Tottenham Hotspur,6,9,Newcastle United,Football,FC 24. 4x4. England Championship,Mi-temps,30/06/2025 20:30
AZ Alkmaar,–,–,Borussia Monchengladbach,Football,FC 25. 3x3. Conference League,Mi-temps,30/06/2025 20:55
Braga,–,–,Bâle,Football,FC 25. 3x3. Conference League,Mi-temps,30/06/2025 20:45
Fiorentine,2,2,Heart of Midlothian,Football,FC 25. 3x3. Conference League,Mi-temps,30/06/2025 20:35
Roma,–,–,Red Bull,Football,FC 25. 3x3. Conference League,Mi-temps,30/06/2025 21:15
West Ham United,–,–,Celta,Football,FC 25. 3x3. Conference League,Mi-temps,30/06/2025 21:05
Brighton et Hove Albion,–,–,Liverpool,Football,FC 24. England Championship,Mi-temps,30/06/2025 21:00
Crystal Palace,–,–,Sheffield United,Football,FC 24. England Championship,Mi-temps,30/06/2025 20:40
Liverpool,–,–,Everton,Football,FC 24. England Championship,Mi-temps,30/06/2025 21:20
Newcastle United,–,–,Crystal Palace,Football,FC 24. England Championship,Mi-temps,30/06/2025 22:00
Sheffield United,–,–,Brighton et Hove Albion,Football,FC 24. England Championship,Mi-temps,30/06/2025 21:40
Barcelone,–,–,Arsenal,Football,FC 25. Champions League,Mi-temps,30/06/2025 21:15
Benfica,–,–,Bayer 04,Football,FC 25. Champions League,Mi-temps,30/06/2025 20:55
Juventus,–,–,Liverpool,Football,FC 25. Champions League,Mi-temps,30/06/2025 21:55
Lombardia,1,–,PSV Eindhoven,Football,FC 25. Champions League,Mi-temps,30/06/2025 20:35
Real Madrid,–,–,Sporting Clube de Portugal,Football,FC 25. Champions League,Mi-temps,30/06/2025 21:35
Bergamo Calcio,–,–,Cagliari Calcio,Football,FC 25. Italy Championship,Mi-temps,30/06/2025 21:45
Latium,–,–,Monza,Football,FC 25. Italy Championship,Mi-temps,30/06/2025 21:25
Lecce,–,–,Latium,Football,FC 25. Italy Championship,Mi-temps,30/06/2025 20:45
Monza,–,1,Bergamo Calcio,Football,FC 25. Italy Championship,Mi-temps,30/06/2025 20:25
Parma,–,–,Lecce,Football,FC 25. Italy Championship,Mi-temps,30/06/2025 21:05
Athletic Bilbao,–,–,Real Betis,Football,FC 24. Spain Championship,Mi-temps,30/06/2025 20:50
Las Palmas,–,–,Real Betis,Football,FC 24. Spain Championship,Mi-temps,30/06/2025 21:10
Rayo Vallecano,–,–,Valencia,Football,FC 24. Spain Championship,Mi-temps,30/06/2025 21:50
Real Madrid,–,–,Athletic Bilbao,Football,FC 24. Spain Championship,Mi-temps,30/06/2025 21:30
Valencia,1,1,Real Madrid,Football,FC 24. Spain Championship,Mi-temps,30/06/2025 20:30
1. Heidenheim 1846,–,–,Borussia Monchengladbach,Football,FC 24. Germany Championship,Mi-temps,30/06/2025 20:55
Borussia Dortmund,–,–,FC Koln,Football,FC 24. Germany Championship,Mi-temps,30/06/2025 21:15
Borussia Monchengladbach,–,–,Borussia Dortmund,Football,FC 24. Germany Championship,Mi-temps,30/06/2025 20:35
Freiburg,–,–,Werder Bremen,Football,FC 24. Germany Championship,Mi-temps,30/06/2025 21:35
Union Berlin,–,–,VfL Bochum,Football,FC 24. Germany Championship,Mi-temps,30/06/2025 21:55
AEK Athens,–,–,Galatasaray,Football,FC 24. Europe League,Mi-temps,30/06/2025 21:20
Benfica,–,–,Feyenoord,Football,FC 24. Europe League,Mi-temps,30/06/2025 21:00
Brighton et Hove Albion,1,4,Real Betis,Football,FC 24. Europe League,Mi-temps,30/06/2025 20:20
Freiburg,–,–,AEK Athens,Football,FC 24. Europe League,Mi-temps,30/06/2025 21:40
Olympique de Marseille,–,–,West Ham United,Football,FC 24. Europe League,Mi-temps,30/06/2025 20:40
Angleterre,–,–,Suède,Football,FC 25. World Championship,Mi-temps,30/06/2025 21:25
